job,definition,what_1,what_2,what_3,where,who,fun_fact,keywords
가수,노래를 불러요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
유튜버,영상 만들어 올려요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
스포츠 선수,운동을 해서 경기를 해요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
아나운서,뉴스나 방송을 진행해요,원고 읽기,발음 연습,방송 진행,"방송국, 스튜디오","시청자, 청취자",호흡과 발성이 매우 중요해요.,"방송, 전달, 발음"
뉴스 기자,사건을 취재해서 알려줘요,취재하기,기사 쓰기,인터뷰하기,"신문사, 현장",시민들,제목은 짧고 눈에 띄게 써요.,"뉴스, 취재, 사실"
동물 훈련사,동물을 훈련시켜요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
마술사,신기한 마술을 보여줘요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
만화가,만화를 그려요,그림 그리기,색 칠하기,전시 준비,"화실, 전시회",관람객,붓뿐 아니라 손가락으로도 그릴 수 있어요.,"그림, 색, 표현"
게임 개발자,게임을 만들어요,코드 작성,버그 고치기,기능 만들기,"사무실, 컴퓨터 앞",사용자들,컴퓨터가 이해하는 언어로 말해요.,"코딩, 문제해결, 논리"
과학자,새로운 것을 연구하고 실험해요,실험하기,자료 정리,보고서 쓰기,"연구실, 실험실",사회 전체,실험은 여러 번 반복해 확인해요.,"실험, 발견, 호기심"
로봇 개발자,로봇을 설계하고 만들어요,코드 작성,버그 고치기,기능 만들기,"사무실, 컴퓨터 앞",사용자들,컴퓨터가 이해하는 언어로 말해요.,"코딩, 문제해결, 논리"
우주비행사,우주를 탐험해요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
고고학자,옛날 물건을 찾아서 연구해요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
동물원 사육사,동물을 돌보고 먹이를 줘요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
수의사,아픈 동물을 치료해요,진찰하기,약 처방하기,치료 계획 세우기,"병원, 진료실",환자와 가족,청진기로 심장 소리를 들어요.,"건강, 치료, 진료"
해양 생물 연구원,바다 생물을 연구해요,실험하기,자료 정리,보고서 쓰기,"연구실, 실험실",사회 전체,실험은 여러 번 반복해 확인해요.,"실험, 발견, 호기심"
파일럿,비행기를 조종해요,비행 계획,조종하기,안전 점검,"공항, 하늘",승객들,구름 위로 날아가요.,"비행, 안전, 항공"
기차 기관사,기차를 운전해요,열차 운행,신호 확인,승무원과 소통,"기차역, 철로",승객들,정확한 시간에 맞춰 출발해요.,"철도, 신호, 시간"
공룡 연구자,공룡에 대해 연구해요,실험하기,자료 정리,보고서 쓰기,"연구실, 실험실",사회 전체,실험은 여러 번 반복해 확인해요.,"실험, 발견, 호기심"
건축가,건물을 설계해요,설계하기,도면 그리기,현장 점검,"사무실, 공사 현장",건축주와 주민,작은 창도 집 분위기를 바꿔요.,"설계, 공간, 구조"
목수,나무로 물건을 만들어요,자르기,조립하기,마감하기,"공사 현장, 작업장",고객과 주민,나무 냄새가 좋은 작업장도 있어요.,"목공, 공구, 제작"
제빵사,빵을 만들어요,반죽 만들기,발효시키기,빵 굽기,"빵집, 제과점",손님들,아침 일찍부터 빵을 구워요.,"빵, 반죽, 오븐"
패션 디자이너,옷을 디자인해요,아이디어 스케치,시안 만들기,색과 글꼴 정하기,"스튜디오, 사무실",고객과 사용자,색만 바꿔도 느낌이 달라져요.,"창의성, 색, 모양"
장난감 디자이너,장난감을 만들어요,아이디어 스케치,시안 만들기,색과 글꼴 정하기,"스튜디오, 사무실",고객과 사용자,색만 바꿔도 느낌이 달라져요.,"창의성, 색, 모양"
일러스트레이터,그림을 그려요,그림 그리기,색 칠하기,전시 준비,"화실, 전시회",관람객,붓뿐 아니라 손가락으로도 그릴 수 있어요.,"그림, 색, 표현"
애니메이터,움직이는 그림을 만들어요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
사진작가,사진을 찍어요,이야기 쓰기,자료 조사,원고 다듬기,"서재, 도서관",독자들,이야기 시작은 한 문장으로도 돼요.,"이야기, 글쓰기, 상상"
인형극 배우,인형으로 연극을 해요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
공예가,손으로 작품을 만들어요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
탐정,문제를 해결해요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
발명가,새로운 물건을 만들어요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
기상캐스터,날씨를 알려줘요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
동화작가,이야기를 써요,이야기 쓰기,자료 조사,원고 다듬기,"서재, 도서관",독자들,이야기 시작은 한 문장으로도 돼요.,"이야기, 글쓰기, 상상"
게임 스트리머,게임하면서 방송해요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
드론 조종사,드론을 날려요,비행 계획,조종하기,안전 점검,"공항, 하늘",승객들,구름 위로 날아가요.,"비행, 안전, 항공"
캠핑 가이드,사람들과 캠핑해요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
동물 구조대,다친 동물을 구해요,일을 계획하기,사람들과 협력하기,약속 지키기,"사무실, 현장",우리 동네 사람들,이 직업에도 연습과 휴식이 중요해요.,"책임감, 협력, 배움"
우주선 정비사,우주선을 고쳐요,문제 진단,부품 교체,시험 운전,"정비소, 공장",고객과 사용자,작은 나사 하나가 성능을 바꿔요.,"정비, 기계, 점검"
로켓 과학자,로켓을 연구하고 만들어요,실험하기,자료 정리,보고서 쓰기,"연구실, 실험실",사회 전체,실험은 여러 번 반복해 확인해요.,"실험, 발견, 호기심"
