job,category,question,short_answer,long_answer,keywords
소방관,how,어떻게 일을 해요?,"먼저 불 끄기, 다음 사람 구하기, 마지막으로 안…","먼저 불 끄기을(를) 하고, 다음 사람 구하기을(를) 한 뒤, 마지막으로 안전 점검을(를) 하며 안전을 지켜요.","안전, 구조, 팀워크"
소방관,fun,재미있는 사실이 있나요?,소방차는 멀리서도 보이게 빨간색인 곳이 많아요.,소방차는 멀리서도 보이게 빨간색인 곳이 많아요. 재미있죠!,"안전, 구조, 팀워크"
소방관,safety,안전은 어떻게 지키나요?,안전 장비를 착용하고 규칙을 지켜요.,"헬멧·장갑 등 안전 장비를 착용하고, 팀과 신호를 맞추며 규칙을 지켜요.","안전, 구조, 팀워크"
의사,what,의사은(는) 무엇을 하나요?,아픈 사람을 치료해요,"의사은(는) 진찰하기, 약 처방하기, 치료 계획 세우기 일을 해요. 아픈 사람을 치료해요","건강, 치료, 진료"
의사,where,어디에서 일해요?,"병원, 진료실","주로 병원, 진료실에서 일해요.","건강, 치료, 진료"
의사,help,누구에게 도움이 되나요?,환자와 가족,의사은(는) 환자와 가족에게 도움이 돼요.,"건강, 치료, 진료"
의사,how,어떻게 일을 해요?,"먼저 진찰하기, 다음 약 처방하기, 마지막으로 치…","먼저 진찰하기을(를) 하고, 다음 약 처방하기을(를) 한 뒤, 마지막으로 치료 계획 세우기을(를) 하며 안전을 지켜요.","건강, 치료, 진료"
의사,fun,재미있는 사실이 있나요?,청진기로 심장 소리를 들어요.,청진기로 심장 소리를 들어요. 재미있죠!,"건강, 치료, 진료"
의사,safety,안전은 어떻게 지키나요?,안전 장비를 착용하고 규칙을 지켜요.,"헬멧·장갑 등 안전 장비를 착용하고, 팀과 신호를 맞추며 규칙을 지켜요.","건강, 치료, 진료"
간호사,what,간호사은(는) 무엇을 하나요?,의사를 도와서 환자를 돌봐요,"간호사은(는) 환자 돌보기, 약 챙기기, 기록하기 일을 해요. 의사를 도와서 환자를 돌봐요","돌봄, 건강, 배려"
간호사,where,어디에서 일해요?,"병원, 병동","주로 병원, 병동에서 일해요.","돌봄, 건강, 배려"
간호사,help,누구에게 도움이 되나요?,환자와 보호자,간호사은(는) 환자와 보호자에게 도움이 돼요.,"돌봄, 건강, 배려"
간호사,how,어떻게 일을 해요?,"먼저 환자 돌보기, 다음 약 챙기기, 마지막으로…","먼저 환자 돌보기을(를) 하고, 다음 약 챙기기을(를) 한 뒤, 마지막으로 기록하기을(를) 하며 안전을 지켜요.","돌봄, 건강, 배려"
간호사,fun,재미있는 사실이 있나요?,주사 전에는 이름을 꼭 확인해요.,주사 전에는 이름을 꼭 확인해요. 재미있죠!,"돌봄, 건강, 배려"
간호사,safety,안전은 어떻게 지키나요?,안전 장비를 착용하고 규칙을 지켜요.,"헬멧·장갑 등 안전 장비를 착용하고, 팀과 신호를 맞추며 규칙을 지켜요.","돌봄, 건강, 배려"
요리사,what,요리사은(는) 무엇을 하나요?,맛있는 음식을 만들어요,"요리사은(는) 재료 손질, 요리 만들기, 맛과 위생 점검 일을 해요. 맛있는 음식을 만들어요","요리, 맛, 위생"
요리사,where,어디에서 일해요?,"식당, 주방","주로 식당, 주방에서 일해요.","요리, 맛, 위생"
요리사,help,누구에게 도움이 되나요?,손님들,요리사은(는) 손님들에게 도움이 돼요.,"요리, 맛, 위생"
요리사,how,어떻게 일을 해요?,"먼저 재료 손질, 다음 요리 만들기, 마지막으로…","먼저 재료 손질을(를) 하고, 다음 요리 만들기을(를) 한 뒤, 마지막으로 맛과 위생 점검을(를) 하며 안전을 지켜요.","요리, 맛, 위생"
요리사,fun,재미있는 사실이 있나요?,요리사는 하얀 모자를 쓰기도 해요.,요리사는 하얀 모자를 쓰기도 해요. 재미있죠!,"요리, 맛, 위생"
버스기사,what,버스기사은(는) 무엇을 하나요?,사람들을 버스로 데려다줘요,"버스기사은(는) 운전하기, 안전 확인, 승객 안내 일을 해요. 사람들을 버스로 데려다줘요","운전, 안전, 시간"
버스기사,where,어디에서 일해요?,"도로, 차량","주로 도로, 차량에서 일해요.","운전, 안전, 시간"
버스기사,help,누구에게 도움이 되나요?,승객들,버스기사은(는) 승객들에게 도움이 돼요.,"운전, 안전, 시간"
버스기사,how,어떻게 일을 해요?,"먼저 운전하기, 다음 안전 확인, 마지막으로 승객…","먼저 운전하기을(를) 하고, 다음 안전 확인을(를) 한 뒤, 마지막으로 승객 안내을(를) 하며 안전을 지켜요.","운전, 안전, 시간"
버스기사,fun,재미있는 사실이 있나요?,정류장 시간표를 지켜요.,정류장 시간표를 지켜요. 재미있죠!,"운전, 안전, 시간"
버스기사,safety,안전은 어떻게 지키나요?,안전 장비를 착용하고 규칙을 지켜요.,"헬멧·장갑 등 안전 장비를 착용하고, 팀과 신호를 맞추며 규칙을 지켜요.","운전, 안전, 시간"
택배기사,what,택배기사은(는) 무엇을 하나요?,물건을 집까지 배달해줘요,"택배기사은(는) 물건 분류, 배송하기, 수령 확인 일을 해요. 물건을 집까지 배달해줘요","배송, 시간, 책임"
택배기사,where,어디에서 일해요?,"물류센터, 동네","주로 물류센터, 동네에서 일해요.","배송, 시간, 책임"
택배기사,help,누구에게 도움이 되나요?,고객들,택배기사은(는) 고객들에게 도움이 돼요.,"배송, 시간, 책임"
택배기사,how,어떻게 일을 해요?,"먼저 물건 분류, 다음 배송하기, 마지막으로 수령…","먼저 물건 분류을(를) 하고, 다음 배송하기을(를) 한 뒤, 마지막으로 수령 확인을(를) 하며 안전을 지켜요.","배송, 시간, 책임"
택배기사,fun,재미있는 사실이 있나요?,주소를 정확히 보는 것이 중요해요.,주소를 정확히 보는 것이 중요해요. 재미있죠!,"배송, 시간, 책임"
환경미화원,what,환경미화원은(는) 무엇을 하나요?,길거리를 깨끗하게 해줘요,"환경미화원은(는) 거리 청소, 분리수거, 시설 정리 일을 해요. 길거리를 깨끗하게 해줘요","청결, 환경, 배려"
환경미화원,where,어디에서 일해요?,"거리, 공원","주로 거리, 공원에서 일해요.","청결, 환경, 배려"
환경미화원,help,누구에게 도움이 되나요?,주민과 방문객,환경미화원은(는) 주민과 방문객에게 도움이 돼요.,"청결, 환경, 배려"
환경미화원,how,어떻게 일을 해요?,"먼저 거리 청소, 다음 분리수거, 마지막으로 시설…","먼저 거리 청소을(를) 하고, 다음 분리수거을(를) 한 뒤, 마지막으로 시설 정리을(를) 하며 안전을 지켜요.","청결, 환경, 배려"
환경미화원,fun,재미있는 사실이 있나요?,깨끗한 길은 모두의 기분을 좋게 해요.,깨끗한 길은 모두의 기분을 좋게 해요. 재미있죠!,"청결, 환경, 배려"
미용사,what,미용사은(는) 무엇을 하나요?,머리를 예쁘게 잘라줘요,"미용사은(는) 머리 자르기, 염색하기, 손질하기 일을 해요. 머리를 예쁘게 잘라줘요","헤어, 스타일, 서비스"
미용사,where,어디에서 일해요?,"미용실, 바버숍","주로 미용실, 바버숍에서 일해요.","헤어, 스타일, 서비스"
미용사,help,누구에게 도움이 되나요?,손님들,미용사은(는) 손님들에게 도움이 돼요.,"헤어, 스타일, 서비스"
미용사,how,어떻게 일을 해요?,"먼저 머리 자르기, 다음 염색하기, 마지막으로 손…","먼저 머리 자르기을(를) 하고, 다음 염색하기을(를) 한 뒤, 마지막으로 손질하기을(를) 하며 안전을 지켜요.","헤어, 스타일, 서비스"
미용사,fun,재미있는 사실이 있나요?,가위 소리가 경쾌해요.,가위 소리가 경쾌해요. 재미있죠!,"헤어, 스타일, 서비스"
배우,what,배우은(는) 무엇을 하나요?,영화나 드라마에 나와요,"배우은(는) 일을 계획하기, 사람들과 협력하기, 약속 지키기 일을 해요. 영화나 드라마에 나와요","책임감, 협력, 배움"
배우,where,어디에서 일해요?,"사무실, 현장","주로 사무실, 현장에서 일해요.","책임감, 협력, 배움"
배우,help,누구에게 도움이 되나요?,우리 동네 사람들,배우은(는) 우리 동네 사람들에게 도움이 돼요.,"책임감, 협력, 배움"
배우,how,어떻게 일을 해요?,"먼저 일을 계획하기, 다음 사람들과 협력하기, 마…","먼저 일을 계획하기을(를) 하고, 다음 사람들과 협력하기을(를) 한 뒤, 마지막으로 약속 지키기을(를) 하며 안전을 지켜요.","책임감, 협력, 배움"
배우,fun,재미있는 사실이 있나요?,이 직업에도 연습과 휴식이 중요해요.,이 직업에도 연습과 휴식이 중요해요. 재미있죠!,"책임감, 협력, 배움"
가수,what,가수은(는) 무엇을 하나요?,노래를 불러요,"가수은(는) 일을 계획하기, 사람들과 협력하기, 약속 지키기 일을 해요. 노래를 불러요","책임감, 협력, 배움"
가수,where,어디에서 일해요?,"사무실, 현장","주로 사무실, 현장에서 일해요.","책임감, 협력, 배움"
가수,help,누구에게 도움이 되나요?,우리 동네 사람들,가수은(는) 우리 동네 사람들에게 도움이 돼요.,"책임감, 협력, 배움"
가수,how,어떻게 일을 해요?,"먼저 일을 계획하기, 다음 사람들과 협력하기, 마…","먼저 일을 계획하기을(를) 하고, 다음 사람들과 협력하기을(를) 한 뒤, 마지막으로 약속 지키기을(를) 하며 안전을 지켜요.","책임감, 협력, 배움"
가수,fun,재미있는 사실이 있나요?,이 직업에도 연습과 휴식이 중요해요.,이 직업에도 연습과 휴식이 중요해요. 재미있죠!,"책임감, 협력, 배움"
유튜버,what,유튜버은(는) 무엇을 하나요?,영상 만들어 올려요,"유튜버은(는) 일을 계획하기, 사람들과 협력하기, 약속 지키기 일을 해요. 영상 만들어 올려요","책임감, 협력, 배움"
유튜버,where,어디에서 일해요?,"사무실, 현장","주로 사무실, 현장에서 일해요.","책임감, 협력, 배움"
유튜버,help,누구에게 도움이 되나요?,우리 동네 사람들,유튜버은(는) 우리 동네 사람들에게 도움이 돼요.,"책임감, 협력, 배움"
유튜버,how,어떻게 일을 해요?,"먼저 일을 계획하기, 다음 사람들과 협력하기, 마…","먼저 일을 계획하기을(를) 하고, 다음 사람들과 협력하기을(를) 한 뒤, 마지막으로 약속 지키기을(를) 하며 안전을 지켜요.","책임감, 협력, 배움"
유튜버,fun,재미있는 사실이 있나요?,이 직업에도 연습과 휴식이 중요해요.,이 직업에도 연습과 휴식이 중요해요. 재미있죠!,"책임감, 협력, 배움"
스포츠 선수,what,스포츠 선수은(는) 무엇을 하나요?,운동을 해서 경기를 해요,"스포츠 선수은(는) 일을 계획하기, 사람들과 협력하기, 약속 지키기 일을 해요. 운동을 해서 경기를 해요","책임감, 협력, 배움"
스포츠 선수,where,어디에서 일해요?,"사무실, 현장","주로 사무실, 현장에서 일해요.","책임감, 협력, 배움"
스포츠 선수,help,누구에게 도움이 되나요?,우리 동네 사람들,스포츠 선수은(는) 우리 동네 사람들에게 도움이 돼요.,"책임감, 협력, 배움"
스포츠 선수,how,어떻게 일을 해요?,"먼저 일을 계획하기, 다음 사람들과 협력하기, 마…","먼저 일을 계획하기을(를) 하고, 다음 사람들과 협력하기을(를) 한 뒤, 마지막으로 약속 지키기을(를) 하며 안전을 지켜요.","책임감, 협력, 배움"
스포츠 선수,fun,재미있는 사실이 있나요?,이 직업에도 연습과 휴식이 중요해요.,이 직업에도 연습과 휴식이 중요해요. 재미있죠!,"책임감, 협력, 배움"
아나운서,what,아나운서은(는) 무엇을 하나요?,뉴스나 방송을 진행해요,"아나운서은(는) 원고 읽기, 발음 연습, 방송 진행 일을 해요. 뉴스나 방송을 진행해요","방송, 전달, 발음"
아나운서,where,어디에서 일해요?,"방송국, 스튜디오","주로 방송국, 스튜디오에서 일해요.","방송, 전달, 발음"
아나운서,help,누구에게 도움이 되나요?,"시청자, 청취자","아나운서은(는) 시청자, 청취자에게 도움이 돼요.","방송, 전달, 발음"
아나운서,how,어떻게 일을 해요?,"먼저 원고 읽기, 다음 발음 연습, 마지막으로 방…","먼저 원고 읽기을(를) 하고, 다음 발음 연습을(를) 한 뒤, 마지막으로 방송 진행을(를) 하며 안전을 지켜요.","방송, 전달, 발음"
아나운서,fun,재미있는 사실이 있나요?,호흡과 발성이 매우 중요해요.,호흡과 발성이 매우 중요해요. 재미있죠!,"방송, 전달, 발음"
뉴스 기자,what,뉴스 기자은(는) 무엇을 하나요?,사건을 취재해서 알려줘요,"뉴스 기자은(는) 취재하기, 기사 쓰기, 인터뷰하기 일을 해요. 사건을 취재해서 알려줘요","뉴스, 취재, 사실"
뉴스 기자,where,어디에서 일해요?,"신문사, 현장","주로 신문사, 현장에서 일해요.","뉴스, 취재, 사실"
뉴스 기자,help,누구에게 도움이 되나요?,시민들,뉴스 기자은(는) 시민들에게 도움이 돼요.,"뉴스, 취재, 사실"
뉴스 기자,how,어떻게 일을 해요?,"먼저 취재하기, 다음 기사 쓰기, 마지막으로 인터…","먼저 취재하기을(를) 하고, 다음 기사 쓰기을(를) 한 뒤, 마지막으로 인터뷰하기을(를) 하며 안전을 지켜요.","뉴스, 취재, 사실"
뉴스 기자,fun,재미있는 사실이 있나요?,제목은 짧고 눈에 띄게 써요.,제목은 짧고 눈에 띄게 써요. 재미있죠!,"뉴스, 취재, 사실"
동물 훈련사,what,동물 훈련사은(는) 무엇을 하나요?,동물을 훈련시켜요,"동물 훈련사은(는) 일을 계획하기, 사람들과 협력하기, 약속 지키기 일을 해요. 동물을 훈련시켜요","책임감, 협력, 배움"
동물 훈련사,where,어디에서 일해요?,"사무실, 현장","주로 사무실, 현장에서 일해요.","책임감, 협력, 배움"
동물 훈련사,help,누구에게 도움이 되나요?,우리 동네 사람들,동물 훈련사은(는) 우리 동네 사람들에게 도움이 돼요.,"책임감, 협력, 배움"
동물 훈련사,how,어떻게 일을 해요?,"먼저 일을 계획하기, 다음 사람들과 협력하기, 마…","먼저 일을 계획하기을(를) 하고, 다음 사람들과 협력하기을(를) 한 뒤, 마지막으로 약속 지키기을(를) 하며 안전을 지켜요.","책임감, 협력, 배움"
동물 훈련사,fun,재미있는 사실이 있나요?,이 직업에도 연습과 휴식이 중요해요.,이 직업에도 연습과 휴식이 중요해요. 재미있죠!,"책임감, 협력, 배움"
마술사,what,마술사은(는) 무엇을 하나요?,신기한 마술을 보여줘요,"마술사은(는) 일을 계획하기, 사람들과 협력하기, 약속 지키기 일을 해요. 신기한 마술을 보여줘요","책임감, 협력, 배움"
마술사,where,어디에서 일해요?,"사무실, 현장","주로 사무실, 현장에서 일해요.","책임감, 협력, 배움"
마술사,help,누구에게 도움이 되나요?,우리 동네 사람들,마술사은(는) 우리 동네 사람들에게 도움이 돼요.,"책임감, 협력, 배움"
마술사,how,어떻게 일을 해요?,"먼저 일을 계획하기, 다음 사람들과 협력하기, 마…","먼저 일을 계획하기을(를) 하고, 다음 사람들과 협력하기을(를) 한 뒤, 마지막으로 약속 지키기을(를) 하며 안전을 지켜요.","책임감, 협력, 배움"
마술사,fun,재미있는 사실이 있나요?,이 직업에도 연습과 휴식이 중요해요.,이 직업에도 연습과 휴식이 중요해요. 재미있죠!,"책임감, 협력, 배움"
만화가,what,만화가은(는) 무엇을 하나요?,만화를 그려요,"만화가은(는) 그림 그리기, 색 칠하기, 전시 준비 일을 해요. 만화를 그려요","그림, 색, 표현"
만화가,where,어디에서 일해요?,"화실, 전시회","주로 화실, 전시회에서 일해요.","그림, 색, 표현"
만화가,help,누구에게 도움이 되나요?,관람객,만화가은(는) 관람객에게 도움이 돼요.,"그림, 색, 표현"
만화가,how,어떻게 일을 해요?,"먼저 그림 그리기, 다음 색 칠하기, 마지막으로…","먼저 그림 그리기을(를) 하고, 다음 색 칠하기을(를) 한 뒤, 마지막으로 전시 준비을(를) 하며 안전을 지켜요.","그림, 색, 표현"
만화가,fun,재미있는 사실이 있나요?,붓뿐 아니라 손가락으로도 그릴 수 있어요.,붓뿐 아니라 손가락으로도 그릴 수 있어요. 재미있죠!,"그림, 색, 표현"
게임 개발자,what,게임 개발자은(는) 무엇을 하나요?,게임을 만들어요,"게임 개발자은(는) 코드 작성, 버그 고치기, 기능 만들기 일을 해요. 게임을 만들어요","코딩, 문제해결, 논리"
게임 개발자,where,어디에서 일해요?,"사무실, 컴퓨터 앞","주로 사무실, 컴퓨터 앞에서 일해요.","코딩, 문제해결, 논리"
게임 개발자,help,누구에게 도움이 되나요?,사용자들,게임 개발자은(는) 사용자들에게 도움이 돼요.,"코딩, 문제해결, 논리"
게임 개발자,how,어떻게 일을 해요?,"먼저 코드 작성, 다음 버그 고치기, 마지막으로…","먼저 코드 작성을(를) 하고, 다음 버그 고치기을(를) 한 뒤, 마지막으로 기능 만들기을(를) 하며 안전을 지켜요.","코딩, 문제해결, 논리"
게임 개발자,fun,재미있는 사실이 있나요?,컴퓨터가 이해하는 언어로 말해요.,컴퓨터가 이해하는 언어로 말해요. 재미있죠!,"코딩, 문제해결, 논리"
과학자,what,과학자은(는) 무엇을 하나요?,새로운 것을 연구하고 실험해요,"과학자은(는) 실험하기, 자료 정리, 보고서 쓰기 일을 해요. 새로운 것을 연구하고 실험해요","실험, 발견, 호기심"
과학자,where,어디에서 일해요?,"연구실, 실험실","주로 연구실, 실험실에서 일해요.","실험, 발견, 호기심"
과학자,help,누구에게 도움이 되나요?,사회 전체,과학자은(는) 사회 전체에게 도움이 돼요.,"실험, 발견, 호기심"
과학자,how,어떻게 일을 해요?,"먼저 실험하기, 다음 자료 정리, 마지막으로 보고…","먼저 실험하기을(를) 하고, 다음 자료 정리을(를) 한 뒤, 마지막으로 보고서 쓰기을(를) 하며 안전을 지켜요.","실험, 발견, 호기심"
과학자,fun,재미있는 사실이 있나요?,실험은 여러 번 반복해 확인해요.,실험은 여러 번 반복해 확인해요. 재미있죠!,"실험, 발견, 호기심"
로봇 개발자,what,로봇 개발자은(는) 무엇을 하나요?,로봇을 설계하고 만들어요,"로봇 개발자은(는) 코드 작성, 버그 고치기, 기능 만들기 일을 해요. 로봇을 설계하고 만들어요","코딩, 문제해결, 논리"
로봇 개발자,where,어디에서 일해요?,"사무실, 컴퓨터 앞","주로 사무실, 컴퓨터 앞에서 일해요.","코딩, 문제해결, 논리"
로봇 개발자,help,누구에게 도움이 되나요?,사용자들,로봇 개발자은(는) 사용자들에게 도움이 돼요.,"코딩, 문제해결, 논리"
로봇 개발자,how,어떻게 일을 해요?,"먼저 코드 작성, 다음 버그 고치기, 마지막으로…","먼저 코드 작성을(를) 하고, 다음 버그 고치기을(를) 한 뒤, 마지막으로 기능 만들기을(를) 하며 안전을 지켜요.","코딩, 문제해결, 논리"
로봇 개발자,fun,재미있는 사실이 있나요?,컴퓨터가 이해하는 언어로 말해요.,컴퓨터가 이해하는 언어로 말해요. 재미있죠!,"코딩, 문제해결, 논리"
우주비행사,what,우주비행사은(는) 무엇을 하나요?,우주를 탐험해요,"우주비행사은(는) 일을 계획하기, 사람들과 협력하기, 약속 지키기 일을 해요. 우주를 탐험해요","책임감, 협력, 배움"
우주비행사,where,어디에서 일해요?,"사무실, 현장","주로 사무실, 현장에서 일해요.","책임감, 협력, 배움"
우주비행사,help,누구에게 도움이 되나요?,우리 동네 사람들,우주비행사은(는) 우리 동네 사람들에게 도움이 돼요.,"책임감, 협력, 배움"
우주비행사,how,어떻게 일을 해요?,"먼저 일을 계획하기, 다음 사람들과 협력하기, 마…","먼저 일을 계획하기을(를) 하고, 다음 사람들과 협력하기을(를) 한 뒤, 마지막으로 약속 지키기을(를) 하며 안전을 지켜요.","책임감, 협력, 배움"
우주비행사,fun,재미있는 사실이 있나요?,이 직업에도 연습과 휴식이 중요해요.,이 직업에도 연습과 휴식이 중요해요. 재미있죠!,"책임감, 협력, 배움"
고고학자,what,고고학자은(는) 무엇을 하나요?,옛날 물건을 찾아서 연구해요,"고고학자은(는) 일을 계획하기, 사람들과 협력하기, 약속 지키기 일을 해요. 옛날 물건을 찾아서 연구해요","책임감, 협력, 배움"
고고학자,where,어디에서 일해요?,"사무실, 현장","주로 사무실, 현장에서 일해요.","책임감, 협력, 배움"
고고학자,help,누구에게 도움이 되나요?,우리 동네 사람들,고고학자은(는) 우리 동네 사람들에게 도움이 돼요.,"책임감, 협력, 배움"
고고학자,how,어떻게 일을 해요?,"먼저 일을 계획하기, 다음 사람들과 협력하기, 마…","먼저 일을 계획하기을(를) 하고, 다음 사람들과 협력하기을(를) 한 뒤, 마지막으로 약속 지키기을(를) 하며 안전을 지켜요.","책임감, 협력, 배움"
고고학자,fun,재미있는 사실이 있나요?,이 직업에도 연습과 휴식이 중요해요.,이 직업에도 연습과 휴식이 중요해요. 재미있죠!,"책임감, 협력, 배움"
동물원 사육사,what,동물원 사육사은(는) 무엇을 하나요?,동물을 돌보고 먹이를 줘요,"동물원 사육사은(는) 일을 계획하기, 사람들과 협력하기, 약속 지키기 일을 해요. 동물을 돌보고 먹이를 줘요","책임감, 협력, 배움"
동물원 사육사,where,어디에서 일해요?,"사무실, 현장","주로 사무실, 현장에서 일해요.","책임감, 협력, 배움"
동물원 사육사,help,누구에게 도움이 되나요?,우리 동네 사람들,동물원 사육사은(는) 우리 동네 사람들에게 도움이 돼요.,"책임감, 협력, 배움"
동물원 사육사,how,어떻게 일을 해요?,"먼저 일을 계획하기, 다음 사람들과 협력하기, 마…","먼저 일을 계획하기을(를) 하고, 다음 사람들과 협력하기을(를) 한 뒤, 마지막으로 약속 지키기을(를) 하며 안전을 지켜요.","책임감, 협력, 배움"
동물원 사육사,fun,재미있는 사실이 있나요?,이 직업에도 연습과 휴식이 중요해요.,이 직업에도 연습과 휴식이 중요해요. 재미있죠!,"책임감, 협력, 배움"
수의사,what,수의사은(는) 무엇을 하나요?,아픈 동물을 치료해요,"수의사은(는) 진찰하기, 약 처방하기, 치료 계획 세우기 일을 해요. 아픈 동물을 치료해요","건강, 치료, 진료"
수의사,where,어디에서 일해요?,"병원, 진료실","주로 병원, 진료실에서 일해요.","건강, 치료, 진료"
수의사,help,누구에게 도움이 되나요?,환자와 가족,수의사은(는) 환자와 가족에게 도움이 돼요.,"건강, 치료, 진료"
수의사,how,어떻게 일을 해요?,"먼저 진찰하기, 다음 약 처방하기, 마지막으로 치…","먼저 진찰하기을(를) 하고, 다음 약 처방하기을(를) 한 뒤, 마지막으로 치료 계획 세우기을(를) 하며 안전을 지켜요.","건강, 치료, 진료"
수의사,fun,재미있는 사실이 있나요?,청진기로 심장 소리를 들어요.,청진기로 심장 소리를 들어요. 재미있죠!,"건강, 치료, 진료"
수의사,safety,안전은 어떻게 지키나요?,안전 장비를 착용하고 규칙을 지켜요.,"헬멧·장갑 등 안전 장비를 착용하고, 팀과 신호를 맞추며 규칙을 지켜요.","건강, 치료, 진료"
해양 생물 연구원,what,해양 생물 연구원은(는) 무엇을 하나요?,바다 생물을 연구해요,"해양 생물 연구원은(는) 실험하기, 자료 정리, 보고서 쓰기 일을 해요. 바다 생물을 연구해요","실험, 발견, 호기심"
해양 생물 연구원,where,어디에서 일해요?,"연구실, 실험실","주로 연구실, 실험실에서 일해요.","실험, 발견, 호기심"
해양 생물 연구원,help,누구에게 도움이 되나요?,사회 전체,해양 생물 연구원은(는) 사회 전체에게 도움이 돼요.,"실험, 발견, 호기심"
해양 생물 연구원,how,어떻게 일을 해요?,"먼저 실험하기, 다음 자료 정리, 마지막으로 보고…","먼저 실험하기을(를) 하고, 다음 자료 정리을(를) 한 뒤, 마지막으로 보고서 쓰기을(를) 하며 안전을 지켜요.","실험, 발견, 호기심"
해양 생물 연구원,fun,재미있는 사실이 있나요?,실험은 여러 번 반복해 확인해요.,실험은 여러 번 반복해 확인해요. 재미있죠!,"실험, 발견, 호기심"
파일럿,what,파일럿은(는) 무엇을 하나요?,비행기를 조종해요,"파일럿은(는) 비행 계획, 조종하기, 안전 점검 일을 해요. 비행기를 조종해요","비행, 안전, 항공"
파일럿,where,어디에서 일해요?,"공항, 하늘","주로 공항, 하늘에서 일해요.","비행, 안전, 항공"
파일럿,help,누구에게 도움이 되나요?,승객들,파일럿은(는) 승객들에게 도움이 돼요.,"비행, 안전, 항공"
파일럿,how,어떻게 일을 해요?,"먼저 비행 계획, 다음 조종하기, 마지막으로 안전…","먼저 비행 계획을(를) 하고, 다음 조종하기을(를) 한 뒤, 마지막으로 안전 점검을(를) 하며 안전을 지켜요.","비행, 안전, 항공"
파일럿,fun,재미있는 사실이 있나요?,구름 위로 날아가요.,구름 위로 날아가요. 재미있죠!,"비행, 안전, 항공"
파일럿,safety,안전은 어떻게 지키나요?,안전 장비를 착용하고 규칙을 지켜요.,"헬멧·장갑 등 안전 장비를 착용하고, 팀과 신호를 맞추며 규칙을 지켜요.","비행, 안전, 항공"
기차 기관사,what,기차 기관사은(는) 무엇을 하나요?,기차를 운전해요,"기차 기관사은(는) 열차 운행, 신호 확인, 승무원과 소통 일을 해요. 기차를 운전해요","철도, 신호, 시간"
기차 기관사,where,어디에서 일해요?,"기차역, 철로","주로 기차역, 철로에서 일해요.","철도, 신호, 시간"
기차 기관사,help,누구에게 도움이 되나요?,승객들,기차 기관사은(는) 승객들에게 도움이 돼요.,"철도, 신호, 시간"
기차 기관사,how,어떻게 일을 해요?,"먼저 열차 운행, 다음 신호 확인, 마지막으로 승…","먼저 열차 운행을(를) 하고, 다음 신호 확인을(를) 한 뒤, 마지막으로 승무원과 소통을(를) 하며 안전을 지켜요.","철도, 신호, 시간"
기차 기관사,fun,재미있는 사실이 있나요?,정확한 시간에 맞춰 출발해요.,정확한 시간에 맞춰 출발해요. 재미있죠!,"철도, 신호, 시간"
